,Season,DayNum,WTeamID,LTeamID,WScore,LScore,team1Id,team2Id,y,winnerTeamId,team1Name,team2Name,team1_Seed,team2_Seed,ARate_diff,Active Coaching Length Index_diff,AdjDE_diff,AdjEM_diff,AdjOE_diff,AdjTempo_diff,Adjusted Defensive Efficiency_diff,Adjusted Defensive Efficiency Rank_diff,Adjusted Offensive Efficiency_diff,Adjusted Offensive Efficiency Rank_diff,Adjusted Temo_diff,Adjusted Tempo Rank_diff,BlockPct_diff,DE_diff,Def2PtFG_diff,Def3PtFG_diff,DefFT_diff,FG2Pct_diff,FG3Pct_diff,FG3Rate_diff,FTPct_diff,FTRate_diff,OE_diff,ORPct_diff,Off2PtFG_diff,Off3PtFG_diff,OffFT_diff,OppARate_diff,OppBlockPct_diff,OppFG2Pct_diff,OppFG3Pct_diff,OppFG3Rate_diff,OppFTPct_diff,OppStlRate_diff,Pre-Tournament.AdjDE_diff,Pre-Tournament.AdjEM_diff,Pre-Tournament.AdjOE_diff,Pre-Tournament.AdjTempo_diff,Pre-Tournament.DE_diff,Pre-Tournament.OE_diff,Pre-Tournament.RankAdjDE_diff,Pre-Tournament.RankAdjEM_diff,Pre-Tournament.RankAdjOE_diff,Pre-Tournament.RankAdjTempo_diff,Pre-Tournament.RankDE_diff,Pre-Tournament.RankOE_diff,Pre-Tournament.RankTempo_diff,Pre-Tournament.Tempo_diff,RankARate_diff,RankAdjDE_diff,RankAdjEM_diff,RankAdjOE_diff,RankAdjTempo_diff,RankBlockPct_diff,RankDE_diff,RankDef2PtFG_diff,RankDef3PtFG_diff,RankDefFT_diff,RankFG2Pct_diff,RankFG3Pct_diff,RankFG3Rate_diff,RankFTPct_diff,RankFTRate_diff,RankOE_diff,RankORPct_diff,RankOff2PtFG_diff,RankOff3PtFG_diff,RankOffFT_diff,RankOppARate_diff,RankOppBlockPct_diff,RankOppFG2Pct_diff,RankOppFG3Pct_diff,RankOppFG3Rate_diff,RankOppFTPct_diff,RankOppStlRate_diff,RankStlRate_diff,RankTOPct_diff,RankTempo_diff,RankeFGPct_diff,Raw Defensive Efficiency_diff,Raw Defensive Efficiency Rank_diff,Raw Offensive Efficiency_diff,Raw Offensive Efficiency Rank_diff,Raw Tempo_diff,Raw Tempo Rank_diff,Seed_diff,StlRate_diff,TOPct_diff,Tempo_diff,eFGPct_diff
0,2003,134,1421,1411,92,84,1411,1421,0,1421,Texas Southern,UNC Asheville,16,16,4.704999999999998,0.0,-4.829000000000008,1.8994,-2.9295999999999935,0.37659999999999627,-4.799999999999997,-38,-2.9000000000000057,51,0.4000000000000057,-14,-1.7107,-9.959000000000003,-0.4025999999999996,2.6971999999999987,-2.2944999999999993,4.741,-3.0741999999999976,1.6850000000000023,-14.571499999999993,14.420200000000001,1.679000000000002,2.0668000000000006,0.9189999999999969,-2.4601000000000006,1.5412,-3.7049999999999983,-3.4289000000000005,-1.8256999999999977,-3.351299999999995,3.548099999999998,-2.937900000000006,-0.011400000000000007,-5.866000000000014,3.629249999999999,-2.2369999999999948,0.367999999999995,-10.222399999999993,1.7539999999999907,-42.0,-31.0,36.0,-14.0,-172.0,-40.0,-38.0,1.0497000000000014,-96,-38,-23,51,-14,70,-165,14,-51,80,-176,135,-45,306,-163,-43,-73,-26,64,-48,-96,-229,-69,-172,77,-31,-72,60,-49,-36,-66,-10.0,-165,1.6000000000000085,-43,1.0999999999999943,-36,0,-0.009500000000000008,-1.0054999999999978,1.1022999999999996,1.6965000000000003
1,2003,136,1112,1436,80,51,1112,1436,1,1112,Arizona,Vermont,1,16,1.3167000000000044,-10.0,-10.746200000000002,25.22523,14.479,8.258300000000006,-10.700000000000003,-106,14.5,-181,8.299999999999997,-260,0.7993999999999986,-3.7442000000000064,6.1026000000000025,-5.429499999999997,-0.6730999999999998,2.795500000000004,1.5854,2.8591000000000015,4.941599999999994,2.501100000000001,8.987000000000009,2.2301999999999964,-3.1296999999999997,1.7493999999999978,1.3802999999999983,-0.41610000000000014,-3.5782,-2.436399999999999,-0.7072000000000003,-7.372900000000001,-3.3048999999999893,-0.02700000000000001,-10.999099999999999,24.5867,13.588000000000008,8.7153,-3.989699999999999,7.879000000000005,-109.0,-143.0,-166.0,-270.0,-28.0,-104.0,-274.0,10.7744,-24,-106,-146,-181,-260,-30,-34,-195,116,10,-102,-65,-65,-157,-64,-133,-44,68,-38,-61,-12,-202,-79,-23,-170,-56,-182,-51,-133,-263,-106,-3.8000000000000114,-34,9.0,-133,10.0,-263,-15,0.006099999999999994,-2.422900000000002,9.9893,2.742899999999999
2,2003,136,1113,1272,84,71,1113,1272,0,1113,Arizona State,Memphis,10,7,-6.039099999999998,3.0,3.295500000000004,-0.22759999999999891,3.068000000000012,-1.3899000000000115,3.3000000000000114,45,3.0,-17,-1.3999999999999915,60,-2.1407999999999987,6.1436999999999955,3.1156000000000006,-3.302299999999999,0.18679999999999808,4.082000000000001,-2.4465000000000003,-11.548100000000002,1.7201000000000022,7.491100000000003,3.2620000000000005,1.4917999999999978,9.406300000000002,-12.229199999999999,2.8229000000000006,-1.1013999999999982,1.0315999999999992,4.977700000000006,1.7188999999999979,-2.8276000000000003,3.9217000000000013,-0.019199999999999995,2.898299999999992,-1.0854,1.8119999999999976,-1.467100000000002,5.418899999999994,2.9339999999999975,36.0,4.0,-13.0,65.0,86.0,-37.0,30.0,-0.8203000000000031,103,45,1,-17,60,47,123,-109,110,-12,-128,97,196,-38,-95,-42,-34,-179,201,-119,-27,81,178,84,-88,108,-138,144,11,25,-76,6.199999999999989,123,3.200000000000003,-42,-0.7000000000000028,25,3,-0.026099999999999998,0.12650000000000006,-0.649799999999999,1.9572000000000003
3,2003,136,1141,1166,79,73,1141,1166,0,1141,Central Michigan,Creighton,11,6,-0.8194000000000017,-11.0,4.585899999999995,-7.530900000000001,-2.9450000000000074,3.2483000000000004,4.5,73,-2.9000000000000057,27,3.299999999999997,-83,-2.1593,7.9923,-1.315800000000003,-1.1868999999999978,2.502799999999997,0.343900000000005,-0.5418999999999983,-2.197900000000004,7.011399999999995,12.313600000000001,-5.453000000000003,1.6562000000000054,-2.1351000000000013,-4.437200000000001,6.572300000000002,-5.7211,1.1505,2.141200000000005,2.7734999999999985,-1.2177000000000007,0.9058999999999884,0.024599999999999997,4.782299999999992,-7.945499999999999,-3.1629999999999967,3.500099999999989,7.661600000000007,-5.140999999999991,70.0,45.0,26.0,-84.0,139.0,31.0,-108.0,3.5925999999999902,17,73,44,27,-83,78,159,7,14,-103,-1,13,53,-158,-193,34,-55,63,114,-256,-65,72,84,132,-6,46,187,124,242,-100,1,8.0,159,-5.400000000000006,34,3.299999999999997,-100,5,-0.020000000000000004,5.750299999999999,3.3585000000000065,-0.0998999999999981
4,2003,136,1143,1301,76,74,1143,1301,1,1143,California,NC State,8,9,-2.7822999999999993,-6.0,-1.734099999999998,0.4147999999999996,-1.3190000000000026,0.9710000000000036,-1.7999999999999972,-25,-1.2999999999999972,15,0.9000000000000057,-49,-1.3392,-1.4243000000000023,-0.029699999999998283,5.2989999999999995,-5.269400000000001,-2.4243000000000023,1.726300000000002,-12.876100000000005,-8.918399999999991,-5.226699999999994,-1.7239999999999895,0.5997000000000057,11.263399999999997,-7.310699999999997,-3.9526000000000003,9.178600000000003,-2.6184000000000003,0.02790000000000248,0.06790000000000163,4.236899999999999,-4.2006000000000085,-0.028800000000000006,-2.168199999999999,0.5522999999999989,-1.6159999999999997,0.9628000000000014,-2.120900000000006,-1.9140000000000015,-30.0,-3.0,19.0,-47.0,-53.0,23.0,-109.0,2.501500000000007,55,-25,-3,15,-49,60,-39,2,-171,214,47,-73,211,206,129,19,-23,-233,155,168,178,-172,3,4,128,-197,-201,152,-70,-96,30,-1.5,-39,-1.7000000000000028,19,2.1999999999999886,-96,-1,-0.020600000000000007,-1.3143999999999991,2.143900000000002,-1.0444999999999993
5,2003,136,1163,1140,58,53,1140,1163,1,1163,BYU,UConn,12,5,3.8729999999999976,-6.0,-0.3077000000000112,-1.852800000000002,-2.1610000000000014,-5.701700000000002,-0.29999999999999716,-1,-2.1999999999999886,26,-5.700000000000003,205,-9.4101,-1.6141999999999967,-2.398299999999999,-2.1816999999999993,4.5798999999999985,-0.5538999999999987,1.6844999999999999,6.9846,6.24430000000001,9.866600000000005,0.7160000000000082,-5.779199999999996,-10.386300000000006,5.1081,5.2783000000000015,-3.0707999999999984,-2.1593,3.661699999999996,0.8697000000000017,0.43450000000000344,-3.092799999999997,-0.021199999999999997,-1.0058000000000078,-0.18680000000000163,-1.1929999999999978,-5.44550000000001,-1.4037999999999897,1.0930000000000035,-5.0,2.0,12.0,198.0,-28.0,-13.0,235.0,-7.356200000000001,-80,-1,2,26,205,212,-24,67,75,-112,27,-21,-127,-194,-152,-13,132,244,-127,-196,-78,-148,34,25,18,-113,-150,-150,-16,235,-39,-1.6000000000000085,-24,0.7000000000000028,-13,-7.200000000000003,235,7,0.025599999999999998,-0.43929999999999936,-7.193899999999999,1.0014000000000038
6,2003,136,1181,1161,67,57,1161,1181,1,1181,Colorado State,Duke,14,3,9.008299999999998,4.0,13.3189,-17.78419,-4.465000000000003,-3.5908000000000015,13.299999999999997,190,-4.400000000000006,24,-3.6000000000000085,122,-2.2775,11.100099999999998,-2.1676,2.2098000000000013,-0.042200000000001125,4.205100000000002,-0.27600000000000335,-11.782499999999999,-0.8374999999999915,1.1019999999999968,-3.638999999999996,-0.7395999999999958,11.029499999999999,-10.348000000000003,-0.6815999999999995,1.8491999999999962,-2.2940000000000005,2.156100000000002,0.638300000000001,3.2347,-0.7126999999999981,0.04639999999999998,11.911399999999986,-16.52759,-4.616,-3.9298,10.749800000000008,-3.5160000000000053,201.0,90.0,21.0,128.0,233.0,30.0,148.0,-4.947199999999995,-182,190,98,24,122,53,232,50,-34,5,-75,16,201,30,-11,33,9,-248,172,17,21,-161,85,37,38,-36,270,242,222,144,-69,11.099999999999994,232,-3.700000000000003,33,-4.699999999999989,144,11,-0.0402,4.545300000000001,-4.63900000000001,2.6429000000000045
7,2003,136,1211,1153,74,69,1153,1211,0,1211,Cincinnati,Gonzaga,8,9,-6.8016000000000005,-22.0,-7.386799999999994,-0.8949999999999996,-8.281999999999996,-0.49499999999999034,-7.400000000000006,-69,-8.200000000000003,95,-0.5,18,2.7019,-4.500699999999995,0.8017000000000039,-3.915399999999998,3.113599999999998,-11.7423,-3.2573000000000008,-1.7679000000000045,-3.379499999999993,-9.632599999999996,-8.804999999999993,-3.108799999999995,-0.6034999999999968,2.2159000000000013,-1.6125000000000007,-1.0808999999999997,1.1643,-1.8215000000000003,-2.0870000000000033,-2.851399999999998,-2.3004999999999995,-0.0362,-7.257099999999994,0.3788999999999998,-6.878,-0.8747000000000043,-4.121799999999993,-8.474999999999994,-66.0,-2.0,82.0,30.0,-47.0,145.0,98.0,-2.150500000000008,138,-69,3,95,18,-85,-62,-16,83,-138,283,134,45,109,165,150,111,7,-53,68,-25,62,-26,-97,-92,-100,-125,84,-98,80,297,-4.5,-62,-8.799999999999997,150,-1.9000000000000057,80,-1,-0.016400000000000012,-4.570800000000002,-1.8682000000000016,-9.587600000000002
8,2003,136,1228,1443,65,60,1228,1443,1,1228,Illinois,Western Kentucky,4,13,11.993200000000002,7.0,-7.599900000000005,12.7266,5.126000000000005,0.5738999999999947,-7.599999999999994,-54,5.200000000000003,-43,0.5999999999999943,-29,0.04829999999999934,-5.415999999999997,-12.019799999999996,8.334600000000002,3.6850999999999985,2.7128000000000014,0.09669999999999845,-2.3151999999999973,6.3541000000000025,-3.6525999999999996,4.046999999999997,-4.745000000000001,3.2456999999999994,-2.5858999999999988,-0.659799999999997,3.9222000000000037,-0.19709999999999983,-7.0535,1.0792000000000002,7.975199999999997,1.202699999999993,-0.005199999999999996,-7.308700000000002,13.375699999999998,6.067000000000007,0.6929999999999978,-5.644599999999997,4.6440000000000055,-54.0,-51.0,-54.0,-32.0,-40.0,-44.0,18.0,-0.4347000000000065,-165,-54,-51,-43,-29,-2,-43,295,-243,-151,-37,-2,37,-195,91,-43,156,-93,51,38,86,-19,-178,10,250,61,-29,-17,-152,20,-23,-5.5,-43,4.099999999999994,-43,-0.3999999999999915,20,-9,0.0025000000000000022,-2.7180999999999997,-0.42560000000000286,1.7228999999999957
9,2003,136,1242,1429,64,61,1242,1429,1,1242,Kansas,Utah State,2,15,-3.8644000000000034,21.0,-13.261700000000005,21.21361,7.952000000000012,11.235399999999998,-13.299999999999997,-114,7.900000000000006,-73,11.200000000000003,-301,5.7402,-7.341200000000001,-1.368699999999997,2.2897,-0.9209999999999994,4.169499999999999,0.0,-0.7527000000000008,-6.905799999999999,-0.536999999999999,3.1899999999999977,-0.02090000000000458,3.9498000000000033,-1.0716,-2.8781999999999996,-2.782200000000003,3.5854999999999997,-6.131,2.545500000000004,-2.2351000000000028,0.11400000000000432,0.010600000000000012,-13.220100000000002,20.36249,7.143000000000001,11.4191,-8.419700000000006,2.2609999999999957,-117.0,-92.0,-71.0,-303.0,-79.0,-28.0,-301.0,13.350700000000003,83,-114,-86,-73,-301,-224,-79,39,-71,19,-97,1,6,206,10,-30,1,-14,9,128,-34,188,-167,121,-76,9,59,-263,-22,-299,-122,-7.300000000000011,-79,3.200000000000003,-30,12.900000000000006,-299,-13,0.04940000000000001,-0.28759999999999764,12.935599999999994,3.2101999999999933
